"BRTH_YR","GNDR","ETHCTY","name","CNT","ETHCTY","first_letter","last_letter","name_length","vowel_consonant_prop","double_letter","double_vowel","double_consonant","num_syllables","num_a","num_b","num_c","num_d","num_e","num_f","num_g","num_h","num_i","num_j","num_k","num_l","num_m","num_n","num_o","num_p","num_q","num_r","num_s","num_t","num_u","num_v","num_w","num_x","num_y","num_z"
"2011","FEMALE","HISPANIC","GERALDINE","13","HISPANIC","G","E","9","0.8","False","False","False","3","1","0","0","1","2","0","1","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"2011","FEMALE","HISPANIC","GIA","21","HISPANIC","G","A","3","2.0","False","False","False","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","FEMALE","HISPANIC","GIANNA","49","HISPANIC","G","A","6","1.0","True","False","True","2","2","0","0","0","0","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","FEMALE","HISPANIC","GISELLE","38","HISPANIC","G","E","7","0.75","True","False","True","3","0","0","0","0","2","0","1","0","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"2011","FEMALE","HISPANIC","GRACE","36","HISPANIC","G","E","5","0.6666666666666666","False","False","False","1","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2011","FEMALE","HISPANIC","GUADALUPE","26","HISPANIC","G","E","9","1.25","False","False","False","3","2","0","0","1","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","2","0","0","0","0","0"
"2011","FEMALE","HISPANIC","HAILEY","126","HISPANIC","H","Y","6","2.0","False","False","False","2","1","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"2011","FEMALE","HISPANIC","HALEY","14","HISPANIC","H","Y","5","1.5","False","False","False","2","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"2011","FEMALE","HISPANIC","HANNAH","17","HISPANIC","H","H","6","0.5","True","False","True","2","2","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","FEMALE","HISPANIC","HAYLEE","17","HISPANIC","H","E","6","2.0","True","True","False","1","1","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
